Provincia,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
,General Manuel Belgrano,Puerto Deseado,,No,No,,No,No
,General Manuel Belgrano,San Antonio,No,No,No,Si,Si,
MISIONES,,,No,,,Si,,Si
MISIONES,,Fracrán,No,,No,Si,,No
MISIONES,,San Vicente,No,,Si,Si,,
MISIONES,Iguazú,,Si,No,,Si,Si,No
,Iguazú,Libertad,Si,No,No,,Si,No
MISIONES,Iguazú,Puerto Iguazú,,No,Si,,Si,Si
MISIONES,Iguazú,,No,No,,No,No,No
NEUQUEN,,,Si,,,Si,,
,Lácar,Villa Lago Meliquina,Si,No,Si,Si,Si,No
,Loncopué,Chorriaca,,No,No,,No,Si
NEUQUEN,,Loncopué,No,,No,Si,,
NEUQUEN,,,Si,,,Si,,
NEUQUEN,Los Lagos,,No,No,,No,Si,Si
NEUQUEN,,Andacollo,Si,,,No,,Si
NEUQUEN,Minas,Huinganco,,Si,No,,Si,
,Minas,Las Ovejas,No,No,No,No,Si,No
NEUQUEN,,,No,,,No,,No
NEUQUEN,Minas,,No,No,,No,No,No
NEUQUEN,,,No,,,Si,,
NEUQUEN,,Villa del Nahueve,No,,No,No,,
,Bariloche,San Carlos de Bariloche,,Si,Si,,Si,Si
,Bariloche,Villa Campanario,No,No,No,Si,No,No
,Bariloche,Villa Catedral,Si,No,No,Si,Si,
RIO NEGRO,Bariloche,Villa Llao Llao,,No,No,,Si,No
RIO NEGRO,,Villa Los Coihues,No,,,Si,,Si
RIO NEGRO,Bariloche,,No,No,,Si,No,No
RIO NEGRO,Conesa,Barrio Colonia Conesa,,No,No,,No,No
,Conesa,Barrio Planta Compresora de Gas,,No,No,,No,
RIO NEGRO,,General Conesa,Si,,Si,Si,,Si
RIO NEGRO,,,No,,,No,,Si
,El Cuy,Cerro Policía,No,No,Si,Si,Si,No
,El Cuy,El Cuy,,Si,No,,Si,
RIO NEGRO,El Cuy,Las Perlas,,No,Si,,No,Si
,El Cuy,Mencué,,No,No,,Si,Si
SALTA,Anta,,No,No,,Si,Si,
SALTA,,Gaona,No,,Si,Si,,Si
,Anta,General Pizarro,,No,Si,,No,Si
SALTA,Anta,Joaquín V. González,,No,Si,,Si,Si
SALTA,Anta,Las Lajitas,,No,Si,,Si,Si
,Anta,Luis Burela,No,No,No,No,No,
SALTA,Anta,,No,No,,No,,No
SALTA,,Nuestra Señora de Talavera,No,,No,Si,,No
SALTA,,,No,,,No,,
SALTA,Anta,,No,No,,No,No,Si
,Anta,Tolloche,,No,Si,,No,Si
SALTA,Cachi,Cachi,,No,Si,,Si,Si
SALTA,Cachi,,No,No,,Si,Si,
SALTA,,Cafayate,Si,,Si,Si,,
,Rawson,Rawson,Si,Si,No,Si,Si,Si
SAN JUAN,Rawson,Villa Bolaños,,No,No,,No,No
SAN JUAN,,Villa Krause,No,,No,Si,,No
SAN JUAN,Rivadavia,,Si,,,Si,Si,
SAN JUAN,San Martín,,No,No,,No,No,No
SAN JUAN,,,No,,,No,,No
SAN JUAN,San Martín,San Isidro (Est. Los Angacos),,No,No,,No,
,San Martín,Villa Dominguito (Est. Puntilla Blanca),,No,No,,No,
SAN JUAN,,,No,,Si,Si,,No
SAN JUAN,San Martín,,No,No,,No,No,No
SAN JUAN,,Villa San Martín,No,,No,Si,,
SAN JUAN,,,No,No,,Si,No,
,Santa Lucía,Colonia Gutierrez,No,No,No,Si,No,No
SAN JUAN,Santa Lucía,Santa Lucía,,Si,Si,,Si,No
SAN JUAN,Sarmiento,Cañada Honda,,No,Si,,Si,Si
,Gobernador Dupuy,Unión,,No,No,,Si,
SAN LUIS,Junín,,No,No,,No,No,No
SAN LUIS,,,No,,,No,,No
,Junín,Carpinteria,Si,No,No,Si,Si,
SAN LUIS,Junín,Cerrito Blanco,,No,No,,No,No
SAN LUIS,Junín,,Si,No,,No,Si,No
SAN LUIS,,El Duraznito,No,,No,No,,No
,Junín,La Chilca,,No,No,,No,
,Junín,La Lomita,No,No,No,No,No,No
,Junín,Lafinur,,No,No,,No,No
SAN LUIS,Junín,Las Palomas,,No,No,,No,No
SAN LUIS,,,No,,,No,,No
SAN LUIS,Junín,,No,No,,No,No,
SAN LUIS,Junín,Los Molles,,No,No,,Si,No
,Junín,Merlo,Si,No,Si,,Si,No
,Junín,Ojo Del Rio,No,No,No,No,No,
,Junín,Santa Ana,,No,No,,No,No
SAN LUIS,,Santa Rosa del Conlara,Si,,No,Si,,No
SANTA FE,,,No,,,Si,,No
SANTA FE,Caseros,,Si,No,,Si,Si,No
SANTA FE,,Los Nogales,No,,No,No,,
SANTA FE,Caseros,Los Quirquinchos,,No,No,,Si,No
,Caseros,San José de la Esquina,,No,No,Si,Si,No
SANTA FE,,,Si,,,Si,,
SANTA FE,Caseros,,Si,No,,Si,Si,
,Castellanos,Aldao (Est. Casablanca),,No,Si,,Si,No
,Castellanos,Angélica,Si,No,Si,Si,Si,No
SANTA FE,,,Si,,,Si,,
SANTA FE,,Aurelia,No,,No,No,,No
SANTA FE,,,No,,,Si,,No
SANTA FE,General López,,Si,No,,Si,Si,Si
,General López,Teodelina,No,No,No,Si,Si,
SANTA FE,General López,Venado Tuerto,,No,Si,,Si,
SANTA FE,General López,,Si,No,,Si,Si,No
SANTA FE,,,No,,,Si,,Si
SANTA FE,General Obligado,,No,No,,Si,Si,No
SANTA FE,,Avellaneda (Est. Ewald),Si,,,Si,,
SANTA FE,General Obligado,Berna,,No,No,,Si,No
,General Obligado,El Araza,No,No,No,Si,Si,No
,General Obligado,El Rabón,No,No,No,Si,No,
,Las Colonias,Sarmiento,,No,No,,Si,
SANTA FE,,Acebal,Si,,Si,Si,,No
SANTA FE,,,No,,,No,,No
SANTA FE,Rosario,Álvarez,,No,Si,,Si,No
,Rosario,Alvear,Si,No,Si,Si,Si,
SANTA FE,,Arbilla,Si,,No,No,,No
SANTA FE,Rosario,,No,No,,No,Si,No
,Rosario,Arroyo Seco,Si,No,Si,,Si,No
SANTA FE,Rosario,Carmen del Sauce,,No,Si,,No,
,Rosario,Coronel Bogado,,No,Si,,Si,No
,Rosario,Coronel Rodolfo S. Domínguez,No,No,No,Si,Si,No
SANTA FE,,,No,,,No,,
SANTA FE,,El Caramelo,Si,,Si,No,,No
,San Justo,Pedro Gómez Cello,No,No,No,Si,Si,No
,San Justo,Ramayón,,No,No,,Si,No
,San Justo,San Bernardo,,No,No,,No,
,San Justo,San Justo,Si,No,Si,Si,Si,No
SANTA FE,,,No,,,Si,,No
SANTA FE,,Silva (Est. Abipones),No,,No,No,,No
SANTA FE,,,Si,,,Si,,No
SANTA FE,San Justo,,Si,No,,Si,Si,
,San Lorenzo,Aldao,No,No,No,Si,Si,No
SANTA FE,San Lorenzo,Capitán Bermúdez,,No,Si,,Si,No
SANTA FE,San Lorenzo,,Si,No,,Si,Si,
SANTIAGO DEL ESTERO,,,No,,,Si,,No
,Copo,Monte Quemado,No,No,Si,Si,Si,Si
,Copo,Nueva Esperanza,,No,No,,No,Si
SANTIAGO DEL ESTERO,,Pampa de los Guanacos,No,,Si,Si,,
SANTIAGO DEL ESTERO,,,No,,,No,,
SANTIAGO DEL ESTERO,Copo,,No,No,,Si,No,No
SANTIAGO DEL ESTERO,,Bandera Bajada,No,,Si,Si,,No
SANTIAGO DEL ESTERO,Figueroa,Caspi Corral,,No,No,,No,No
,Figueroa,Colonia San Juan,,No,No,No,No,
SANTIAGO DEL ESTERO,,,No,,,No,,No
SANTIAGO DEL ESTERO,Figueroa,,No,No,,Si,No,No
SANTIAGO DEL ESTERO,Figueroa,,No,No,,Si,No,
SANTIAGO DEL ESTERO,,La Invernada,No,,Si,No,,No
,Figueroa,Minerva,,No,No,,No,No
,Figueroa,Vaca Huañuna,No,No,No,No,No,No
,Figueroa,Villa Figueroa,,No,Si,,No,
TUCUMAN,Burruyacú,Villa Burruyacú,,No,Si,,No,
TUCUMAN,,,No,,,No,,No
TUCUMAN,Capital,,Si,Si,,Si,Si,Si
TUCUMAN,Chicligasta,Alpachiri,,No,No,,No,
,Chicligasta,Alto Verde,No,No,No,,Si,No
TUCUMAN,,Arcadia,Si,,No,No,,No
TUCUMAN,,,Si,No,,Si,Si,No
,Chicligasta,Iltico,No,No,No,Si,No,
TUCUMAN,Chicligasta,La Trinidad,,No,No,,Si,No
TUCUMAN,Chicligasta,Medina,,No,No,,No,No
,Chicligasta,San Roque,,No,No,,No,No
TUCUMAN,Cruz Alta,,No,No,,Si,Si,No
TUCUMAN,,,No,,,Si,,
,Cruz Alta,Barrio Aeropuerto,No,No,No,Si,No,No
TUCUMAN,Cruz Alta,Colombres,,No,No,,Si,No
,Cruz Alta,Colonia Mayo - Barrio La Milagrosa,No,No,No,No,No,No
TUCUMAN,Cruz Alta,Delfín Gallo,,No,No,,Si,
TUCUMAN,,El Bracho,No,,No,Si,,No
TUCUMAN,Cruz Alta,,No,,,Si,No,No
TUCUMAN,Cruz Alta,,No,No,,Si,No,
TUCUMAN,,,No,,,Si,,No
TUCUMAN,Cruz Alta,Ex Ingenio Los Ralos,,No,No,,No,No
,Cruz Alta,Ex Ingenio Lujan,,No,No,,No,No
TUCUMAN,,,No,,No,Si,,No
TUCUMAN,Cruz Alta,,Si,No,,Si,Si,
TUCUMAN,Cruz Alta,Las Cejas,,No,No,,No,Si
,Cruz Alta,Lastenia,No,No,No,Si,No,No
TUCUMAN,Cruz Alta,,No,No,,Si,,
TUCUMAN,,Los Gutierrez,No,,No,Si,,
TUCUMAN,,,No,,,No,,No
TUCUMAN,Cruz Alta,,No,No,,No,No,No
,Cruz Alta,Ranchillos,,No,No,,Si,
TUCUMAN,Cruz Alta,San Andrés,,No,Si,,Si,No
TUCUMAN,Cruz Alta,,No,No,,Si,No,No
TUCUMAN,,Villa Tercera,No,,No,No,,No
TUCUMAN,,Barrio Casa Rosada,No,,No,Si,,No
TUCUMAN,,,No,,,Si,,
,Famaillá,Ex Ingenio Nueva Baviera,No,No,No,Si,No,No
,Famaillá,Famaillá,,No,Si,,Si,Si
TUCUMAN,Famaillá,Ingenio Fronterita,,No,No,,No,
,Graneros,Graneros,,No,No,,Si,
TUCUMAN,Graneros,,No,No,,Si,Si,Si
TUCUMAN,,Taco Ralo,No,,No,Si,,No
,Juan Bautista Alberdi,Juan Bautista Alberdi,,No,No,,Si,Si
TUCUMAN,Juan Bautista Alberdi,Villa Belgrano,,No,No,,Si,
TUCUMAN,,,Si,,,Si,,Si
TUCUMAN,,San José de La Cocha,No,,No,No,,Si
,Leales,Bella Vista,,No,Si,,Si,No
,Leales,Estación Aráoz,No,No,No,Si,No,
,Leales,Los Puestos,No,No,No,Si,No,No
TUCUMAN,Leales,Manuel García Fernández,,No,No,,Si,No
TUCUMAN,,Pala Pala,No,,,Si,,
TUCUMAN,Leales,,No,No,,Si,No,No
TUCUMAN,Leales,Santa Rosa de Leales,,No,No,,Si,No
,Leales,Villa de Leales,,No,No,,Si,No
TUCUMAN,Leales,Villa Fiad - Ingenio Leales,,No,No,,Si,
,Lules,Barrio Araujo,No,No,No,Si,No,No
TUCUMAN,Lules,,No,No,,Si,No,No
TUCUMAN,,,No,,Si,Si,,No
TUCUMAN,,Ingenio San Pablo,Si,,Si,Si,,No
TUCUMAN,,,Si,,,Si,,
,Río Chico,Santa Ana,Si,No,No,Si,Si,No
,Río Chico,Villa Clodomiro Hileret,,No,No,,No,No
TUCUMAN,Simoca,,No,,,Si,No,
TUCUMAN,,Monteagudo,No,,No,Si,,
,Simoca,Nueva Trinidad,,No,No,No,No,No
TUCUMAN,Simoca,Santa Cruz,,No,No,,No,No
TUCUMAN,,Simoca,No,,No,Si,,
TUCUMAN,Simoca,,No,No,,No,No,
TUCUMAN,,,No,,,Si,,Si
TUCUMAN,,Colalao del Valle,No,,No,Si,,No
,Tafí del Valle,El Mollar,,No,No,,Si,
,Tafí del Valle,Tafí del Valle,Si,No,No,Si,Si,
TUCUMAN,,Barrio El Cruce,No,,No,Si,,No
TUCUMAN,Tafí Viejo,,Si,No,,Si,,No
TUCUMAN,Tafí Viejo,,Si,No,,Si,Si,
TUCUMAN,,Barrio Parada 14,No,,No,Si,,
TUCUMAN,Tafí Viejo,Barrio U.T.A. II,,No,No,,No,No
,Tafí Viejo,Diagonal Norte - Luz y Fuerza - Los Pocitos - Villa Nueva Italia (6),,No,Si,,Si,No
,Lules,Lules,Si,No,Si,Si,Si,
,Monteros,Acheral,,No,Si,,Si,
TUCUMAN,,Capitán Cáceres,No,,No,No,,No
TUCUMAN,,,Si,,,Si,,No
,Monteros,Pueblo Independencia,,No,No,,Si,
,Monteros,Río Seco,Si,No,Si,Si,Si,No
TUCUMAN,,,Si,,,Si,,No
TUCUMAN,Monteros,,No,No,,No,No,No
,Monteros,Soldado Maldonado,No,No,No,No,No,
TUCUMAN,Monteros,Teniente Berdina,,No,No,,No,No
,Monteros,Villa Quinteros,,No,No,,Si,No
,Río Chico,Aguilares,Si,No,No,Si,Si,No
TUCUMAN,,,No,,,Si,,No
TUCUMAN,,Los Sarmientos,Si,,No,No,,
,Río Chico,Río Chico,No,No,No,No,No,No
TUCUMAN,Tafí Viejo,El Cadillal,,No,No,,Si,No
TUCUMAN,Tafí Viejo,Tafí Viejo,,No,Si,,Si,
,Tafí Viejo,Villa Las Flores,,No,No,,No,No
TUCUMAN,Tafí Viejo,,No,No,,Si,Si,No
TUCUMAN,,,No,,,Si,,No
TUCUMAN,,San Pedro de Colalao,No,,No,Si,,No
TUCUMAN,,,Si,No,,Si,Si,
,Yerba Buena,Barrio San José III,No,No,No,Si,No,No
TUCUMAN,Yerba Buena,Cevil Redondo,,No,No,,No,No
TUCUMAN,,,No,,,No,,
TUCUMAN,,EX INGENIO SAN JOSE,No,,No,Si,,No
,Yerba Buena,Villa Carmela,,No,No,,Si,No
TUCUMAN,Yerba Buena,Villa San Javier,,No,No,,No,No
TUCUMAN,,,Si,,,Si,,
SANTA FE,San Lorenzo,,Si,No,,Si,Si,
SANTA FE,San Lorenzo,,Si,No,,Si,Si,Si
SANTA FE,,Villa Elvira,No,,No,Si,,No
,San Lorenzo,Villa Mugueta,,No,No,,Si,
,San Martín,Cañada Rosquín,No,No,No,Si,Si,
SANTA FE,,Carlos Pellegrini,Si,,No,Si,,No
SANTA FE,,,No,,,Si,,No
SANTA FE,,,No,,,Si,,No
SANTA FE,San Martín,,No,No,,Si,No,
,San Martín,Crispi,,No,No,,Si,No
SANTA FE,San Martín,El Trébol,,No,Si,,Si,No
SANTA FE,San Martín,Landeta,,No,No,,Si,
,San Martín,Las Bandurrias,No,No,No,Si,No,
SANTA FE,San Martín,,No,No,,Si,,No
SANTA FE,,Los Cardos,Si,,No,Si,,Si
,San Martín,María Susana,Si,No,Si,Si,Si,No
,San Martín,Piamonte,,No,No,,Si,
SANTA FE,San Martín,,Si,No,,Si,Si,Si
SANTA FE,,,Si,,,Si,,No
SANTA FE,San Martín,Sastre,,No,Si,,Si,No
,San Martín,Traill,,No,No,,No,
,San Martín,Wildermuth (Est. Granadero B. Bustos),No,No,No,No,No,No
SANTA FE,Vera,Calchaquí,,No,No,,Si,Si
SANTA FE,,Cañada Ombú,No,,No,Si,,
SANTA FE,Vera,,No,,,No,No,Si
,Vera,Fortín Olmos,,No,No,,Si,Si
,Vera,Garabato,No,No,No,Si,Si,No
,Vera,Golondrina,No,No,No,Si,Si,No
SANTA FE,Vera,Intiyaco,,No,No,,Si,
SANTA FE,,,No,,,No,,No
SANTA FE,Vera,,No,No,,Si,Si,No
SANTA FE,,,No,,,Si,,
SANTA FE,,Margarita,No,,No,Si,,Si
,Vera,Paraje 29,,No,No,,No,Si
,Vera,Pozo de los Indios,No,No,No,No,No,Si
SANTA FE,,Pueblo Santa Lucía,No,,No,Si,,No
SANTA FE,,,No,,,Si,No,
SANTA FE,Vera,Toba,,No,No,,No,Si
,Vera,Vera (Est. Gobernador Vera),,No,No,,Si,No
SANTIAGO DEL ESTERO,Aguirre,,No,No,,Si,No,
SANTIAGO DEL ESTERO,,Malbrán,Si,,No,Si,,
SANTIAGO DEL ESTERO,,Villa General Mitre (Est. Pinto),No,,No,Si,,Si
SANTIAGO DEL ESTERO,,,No,,,Si,,Si
,Alberdi,Coronel Manuel L. Rico,No,No,No,No,No,
,Alberdi,Donadeu,,No,Si,,No,No
SANTIAGO DEL ESTERO,Alberdi,,No,No,,Si,,Si
SANTIAGO DEL ESTERO,,Santos Lugares,No,,Si,No,,Si
SANTIAGO DEL ESTERO,,,No,,,Si,,
SANTIAGO DEL ESTERO,,Medellín,No,,Si,No,,
,Atamisqui,Villa Atamisqui,,No,Si,,Si,Si
,Avellaneda,Colonia Dora,Si,No,No,Si,Si,Si
,Avellaneda,Herrera,,No,No,Si,Si,Si
SANTIAGO DEL ESTERO,Banda,Tramo 20,,No,No,,No,
SANTIAGO DEL ESTERO,,Bandera,No,,Si,Si,,Si
SANTIAGO DEL ESTERO,Belgrano,,No,No,,No,Si,Si
SANTIAGO DEL ESTERO,Belgrano,Fortín Inca,,No,No,,Si,
,Belgrano,Guardia Escolta,,No,No,,Si,Si
SANTIAGO DEL ESTERO,,El Deán,No,,No,Si,,No
SANTIAGO DEL ESTERO,,,No,,,No,,Si
,Capital,El Zanjón,No,No,No,No,No,
,Capital,Los Cardozos,,No,Si,,No,No
SANTIAGO DEL ESTERO,Capital,Maco,,No,No,,No,No
,Capital,Maquito,No,No,No,Si,No,Si
SANTIAGO DEL ESTERO,Capital,,No,No,,No,No,No
SANTIAGO DEL ESTERO,,,No,,No,Si,,
,Capital,San Pedro,,No,No,,No,No
SANTIAGO DEL ESTERO,Capital,Santa María,,No,No,,No,No
,Avellaneda,Icaño,,No,No,,Si,
SANTIAGO DEL ESTERO,Avellaneda,Lugones,,No,No,,Si,Si
SANTIAGO DEL ESTERO,,,No,,,Si,,No
SANTIAGO DEL ESTERO,Avellaneda,,No,No,,Si,No,Si
SANTIAGO DEL ESTERO,,,No,No,,No,No,No
SANTIAGO DEL ESTERO,,Antajé,No,,No,No,,
SANTIAGO DEL ESTERO,Banda,Ardiles,,No,No,,No,No
,Banda,Cañada Escobar,No,No,No,No,No,No
SANTIAGO DEL ESTERO,,Chaupi Pozo,No,,Si,Si,,
SANTIAGO DEL ESTERO,,,No,,,Si,,
SANTIAGO DEL ESTERO,Banda,Huyamampa,,No,No,,No,No
,Banda,La Aurora,,No,No,,No,No
SANTIAGO DEL ESTERO,Banda,,Si,No,,Si,Si,
SANTIAGO DEL ESTERO,,,No,,,Si,,
SANTIAGO DEL ESTERO,,Los Quiroga,No,,No,Si,,Si
SANTIAGO DEL ESTERO,Banda,,No,No,,No,No,No
,Banda,Simbolar,No,No,No,Si,Si,Si
,Banda,Tramo 16,,No,No,,No,
SANTIAGO DEL ESTERO,,,Si,,,Si,,Si
SANTIAGO DEL ESTERO,,Averías,No,,No,No,,No
SANTIAGO DEL ESTERO,,Estación Tacañitas,No,,Si,Si,,
SANTIAGO DEL ESTERO,General Taboada,,No,No,,No,No,No
,General Taboada,Los Juríes,,No,Si,Si,Si,Si
SANTIAGO DEL ESTERO,General Taboada,Tomás Young,,No,No,,No,No
,Guasayán,Lavalle,,No,No,,Si,
,Guasayán,San Pedro,No,No,No,Si,No,
SANTIAGO DEL ESTERO,,,No,,,No,,Si
SANTIAGO DEL ESTERO,,El Bobadal,No,,No,Si,,Si
,Jiménez,El Charco,No,No,Si,Si,No,
SANTIAGO DEL ESTERO,Jiménez,El Rincón,,No,No,,No,No
SANTIAGO DEL ESTERO,Jiménez,,No,No,,No,No,No
SANTIAGO DEL ESTERO,,,No,,No,No,,No
SANTIAGO DEL ESTERO,Jiménez,Isca Yacu Semaul,,No,No,,No,
,Moreno,Patay,No,No,No,No,No,No
,Jiménez,Pozo Hondo,No,No,Si,Si,Si,Si
,Jiménez,San Pedro,,No,No,,No,No
SANTIAGO DEL ESTERO,,El Colorado,No,,No,Si,,Si
SANTIAGO DEL ESTERO,,,No,,,No,,
SANTIAGO DEL ESTERO,Juan F. Ibarra,Matará,,No,Si,,Si,Si
,Juan F. Ibarra,Suncho Corral,Si,No,No,Si,Si,Si
SANTIAGO DEL ESTERO,Juan F. Ibarra,Vilelas,,No,No,,No,Si
,Juan F. Ibarra,Yuchán,No,No,No,Si,No,
SANTIAGO DEL ESTERO,Loreto,,No,No,,Si,No,Si
SANTIAGO DEL ESTERO,,Villa Unión,No,,,Si,,Si
SANTIAGO DEL ESTERO,,Aerolito,No,,No,No,,
SANTIAGO DEL ESTERO,,,No,,,No,,Si
,Moreno,Hasse,No,No,No,No,No,No
,Moreno,Hernán Mejía Miraval,,No,No,,No,Si
SANTIAGO DEL ESTERO,,,No,No,,Si,No,
SANTIAGO DEL ESTERO,,Libertad,No,,No,No,,
,Moreno,Lilo Viejo,No,No,No,,No,No
SANTIAGO DEL ESTERO,Moreno,Pueblo Pablo Torelo (Est. Otumpa),,No,Si,,No,No
SANTIAGO DEL ESTERO,,Quimilí,Si,,No,Si,,
SANTIAGO DEL ESTERO,Moreno,,No,No,,No,No,
SANTIAGO DEL ESTERO,,,No,,,Si,,Si
SANTIAGO DEL ESTERO,,Weisburd,No,,No,Si,,No
,Ojo de Agua,El 49,,No,No,,No,
,Ojo de Agua,Sol de Julio,No,No,No,Si,No,Si
SANTIAGO DEL ESTERO,,Villa Ojo de Agua,No,,Si,Si,,No
SANTIAGO DEL ESTERO,Pellegrini,,No,No,,Si,No,No
SANTIAGO DEL ESTERO,Pellegrini,,No,No,,No,No,No
SANTIAGO DEL ESTERO,,,No,,,Si,,
SANTIAGO DEL ESTERO,Pellegrini,Pozo Betbeder,,No,No,,No,No
,Pellegrini,Rapelli,,No,Si,,Si,No
,Pellegrini,Santo Domingo,No,No,No,No,No,
SANTIAGO DEL ESTERO,Quebrachos,Ramírez de Velazco,,No,No,,No,
SANTIAGO DEL ESTERO,,Sumampa,No,,No,Si,,Si
SANTIAGO DEL ESTERO,Quebrachos,,No,No,,No,,No
,Río Hondo,Chañar Pozo de Abajo,,No,No,,No,No
,Río Hondo,Chauchillas,No,No,No,No,No,
SANTIAGO DEL ESTERO,,,No,,,Si,,Si
SANTIAGO DEL ESTERO,Río Hondo,,No,No,,No,No,Si
,Río Hondo,Gramilla,,No,No,,No,Si
SANTIAGO DEL ESTERO,Río Hondo,La Nueva Donosa,,No,No,,No,
SANTIAGO DEL ESTERO,Río Hondo,Los Miranda,,No,No,,No,No
,Río Hondo,Los Núñez,No,No,Si,Si,No,No
SANTIAGO DEL ESTERO,,,No,,,Si,No,
SANTIAGO DEL ESTERO,,Pozuelos,No,,No,No,,Si
,Río Hondo,Rodeo de Valdez,No,No,No,No,No,No
,Río Hondo,Sauzal,,No,No,,No,No
,Río Hondo,Termas de Río Hondo,Si,No,Si,Si,Si,
SANTIAGO DEL ESTERO,Río Hondo,Villa Giménez,,No,No,,No,No
SANTIAGO DEL ESTERO,,Villa Río Hondo,No,,No,Si,,No
SANTIAGO DEL ESTERO,,,No,No,,No,No,No
SANTIAGO DEL ESTERO,Río Hondo,,No,No,,Si,No,No
SANTIAGO DEL ESTERO,,,No,,,Si,,
SANTIAGO DEL ESTERO,Rivadavia,Palo Negro,,No,No,,No,No
,Rivadavia,Selva,,No,No,,Si,Si
SANTIAGO DEL ESTERO,,Beltrán,Si,,,Si,,
SANTIAGO DEL ESTERO,Robles,,No,No,,Si,No,
,Robles,Fernández,,No,Si,,Si,Si
,Robles,Ingeniero Forres (Est. Chaguar Punco),No,No,Si,No,Si,Si
SANTIAGO DEL ESTERO,Robles,,No,No,,Si,No,
SANTIAGO DEL ESTERO,,Chilca Juliana,No,,Si,No,,
SANTIAGO DEL ESTERO,,,No,,,Si,,Si
SANTIAGO DEL ESTERO,Salavina,,No,No,,Si,No,Si
,San Martín,Brea Pozo,,No,No,,Si,
SANTIAGO DEL ESTERO,San Martín,Estación Robles,,No,No,,No,
SANTIAGO DEL ESTERO,Capital,,Si,Si,,Si,Si,Si
SANTIAGO DEL ESTERO,,Vuelta de la Barranca,No,,No,Si,,No
SANTIAGO DEL ESTERO,,Yanda,No,,No,No,,
SANTIAGO DEL ESTERO,Choya,,No,No,,No,,
,Choya,Choya,Si,No,Si,Si,Si,Si
,Choya,Estación La Punta,,No,No,,Si,No
SANTIAGO DEL ESTERO,Choya,Frías,,No,Si,,Si,
,Choya,Laprida,,No,Si,,No,
SANTIAGO DEL ESTERO,Choya,,No,No,,No,No,No
SANTIAGO DEL ESTERO,,,No,,,Si,,No
,Choya,Villa La Punta,No,No,Si,,No,
SANTIAGO DEL ESTERO,Copo,El Caburé,,No,No,,No,No
SANTIAGO DEL ESTERO,,,No,,,No,No,No
SANTIAGO DEL ESTERO,,Los Pirpintos,No,,Si,Si,,Si
SANTIAGO DEL ESTERO,San Martín,Estación Taboada,,No,No,,No,
,San Martín,Villa Nueva,No,No,No,No,No,No
,Sarmiento,Garza,,No,No,,Si,Si
SANTIAGO DEL ESTERO,Silípica,Árraga,,No,Si,,No,Si
SANTIAGO DEL ESTERO,,,No,,,Si,,Si
SANTIAGO DEL ESTERO,Silípica,,No,No,,Si,No,
SANTIAGO DEL ESTERO,Silípica,Sumamao,,No,No,,No,No
,Silípica,Villa Silípica,No,No,No,No,No,No
,ANTARTIDA ARGENTINA,Base Belgrano Ii,No,No,No,No,No,
,ANTARTIDA ARGENTINA,Base Brown,,No,No,,No,No
TIERRA DEL FUEGO,,Base Carlini,No,,No,No,,No
TIERRA DEL FUEGO,,,No,,,Si,,No
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,,No,No,,Si,No,No
TIERRA DEL FUEGO,,,No,,No,No,,
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Base Orcadas,,No,No,,No,No
,ANTARTIDA ARGENTINA,Base San Martin,No,No,No,No,No,No
TIERRA DEL FUEGO,,,No,,,No,,
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,,No,No,,No,No,No
,ANTARTIDA ARGENTINA,Destacamento Melchior,,No,No,,No,No
,ANTARTIDA ARGENTINA,Destacamento Petrel,No,No,No,No,No,No
SANTA FE,,,Si,,,Si,,
SANTA FE,,San Antonio de Obligado,Si,,No,Si,,
SANTA FE,,Tacuarendí (Emb. Kilómetro 421),Si,,No,Si,,No
SANTA FE,General Obligado,,No,No,,Si,Si,Si
,General Obligado,Villa Guillermina,,No,No,Si,Si,
SANTA FE,General Obligado,Villa Ocampo,,No,Si,,Si,
SANTA FE,Iriondo,,No,No,,No,No,No
SANTA FE,,,Si,,,Si,,No
SANTA FE,,,Si,,,Si,,
SANTA FE,,Carrizales (Est. Clarke),Si,,No,Si,,
,La Capital,Arroyo Aguiar,,No,No,,Si,Si
,La Capital,Arroyo Leyes,No,No,Si,Si,No,No
,La Capital,Cabal,No,No,No,,No,
SANTA FE,La Capital,Campo Andino,,No,No,,Si,
SANTA FE,,Candioti,No,,Si,Si,,No
SANTA FE,La Capital,,Si,No,,Si,Si,No
SANTA FE,La Capital,Laguna Paiva,,No,No,,Si,No
,La Capital,Llambi Campbell,,No,No,,Si,
SANTA FE,,Monte Vera,Si,,No,Si,,Si
SANTA FE,,,Si,,,Si,,No
,La Capital,Paraje Chaco Chico,No,No,No,Si,No,No
,La Capital,Paraje La Costa,,No,No,,No,
SANTA FE,La Capital,Recreo,,No,No,,Si,No
,La Capital,RINCON NORTE,No,No,No,No,No,No
SANTA FE,La Capital,,No,No,,No,No,
SANTA FE,,San José del Rincón,Si,,,Si,,Si
,La Capital,Santa Fe,,Si,Si,,Si,Si
SANTA FE,La Capital,Santo Tomé,,No,Si,,Si,No
SANTA FE,La Capital,Sauce Viejo,,No,Si,,Si,No
,La Capital,Villa Adelina,No,No,No,Si,No,
