Año,Trimestre,Provincia,Accesos por cada 100 hogares
2020,3,Capital Federal,10768
2020,3,Catamarca,4716
2020,3,Chaco,4154
2020,3,Chubut,6834
2020,3,Córdoba,7522
2020,3,Corrientes,4175
2020,3,Entre Ríos,5819
2020,3,Formosa,3191
2020,3,Jujuy,5404
2020,3,La Pampa,7926
2020,3,La Rioja,5012
2020,3,Mendoza,3735
2020,3,Misiones,416
2020,3,Neuquén,6524
2020,3,Río Negro,5705
2020,3,Salta,5232
2020,3,San Juan,3879
2020,3,San Luis,7996
2020,3,Santa Cruz,3595
2020,3,Santa Fe,7212
2020,3,Santiago Del Estero,4338
2020,3,Tierra Del Fuego,7681
2020,3,Tucumán,5323
2020,2,Buenos Aires,6522
2020,2,Capital Federal,10641
2020,2,Catamarca,4543
2020,2,Chaco,3983
2020,2,Chubut,5734
2020,2,Córdoba,7271
2020,2,Corrientes,403
2020,2,Entre Ríos,5654
2020,2,Formosa,3114
2020,2,Jujuy,4789
2020,2,La Pampa,761
2020,2,La Rioja,4984
2020,2,Mendoza,3625
2020,2,Misiones,4089
2020,2,Neuquén,639
2020,2,Río Negro,5637
2020,2,Salta,5158
2020,2,San Juan,3509
2020,2,San Luis,7841
2020,2,Santa Cruz,3579
2020,2,Santa Fe,70
2020,2,Santiago Del Estero,4347
2020,2,Tierra Del Fuego,7637
2020,2,Tucumán,5178
2020,1,Buenos Aires,6433
2020,1,Capital Federal,10598
2020,1,Catamarca,3762
2020,1,Chaco,3748
2020,1,Chubut,5127
2020,1,Córdoba,7069
2020,1,Corrientes,3873
2020,1,Entre Ríos,5612
2020,1,Formosa,3023
2020,1,Jujuy,4667
2020,1,La Pampa,7577
2020,1,La Rioja,4635
2020,1,Mendoza,3314
2020,1,Misiones,3902
2020,1,Neuquén,6185
2020,1,Río Negro,5512
2020,1,Salta,496
2020,1,San Juan,3239
2020,1,San Luis,7631
2020,1,Santa Cruz,3597
2020,1,Santa Fe,6952
2020,1,Santiago Del Estero,4247
2020,1,Tierra Del Fuego,7607
2020,1,Tucumán,4785
2019,4,Buenos Aires,6425
2019,4,Capital Federal,10625
2019,4,Catamarca,3644
2019,4,Chaco,3684
2019,4,Chubut,5115
2019,4,Córdoba,7048
2019,4,Corrientes,3877
2019,4,Entre Ríos,5799
2019,4,Formosa,3047
2019,4,Jujuy,4538
2019,4,La Pampa,7692
2019,4,La Rioja,4714
2019,4,Mendoza,3365
2019,4,Misiones,3979
2019,4,Neuquén,5936
2019,4,Río Negro,5571
2019,4,Salta,5035
2019,4,San Juan,3285
2019,4,San Luis,7492
2019,4,Santa Cruz,3671
2019,4,Santa Fe,6948
2019,4,Santiago Del Estero,4292
2019,4,Tierra Del Fuego,797
2019,4,Tucumán,4765
2019,3,Buenos Aires,6936
2019,3,Capital Federal,11265
2019,3,Catamarca,3088
2019,3,Chaco,3585
2019,3,Chubut,4757
2019,3,Córdoba,6859
2019,3,Corrientes,3849
2019,3,Entre Ríos,579
2019,3,Formosa,3011
2019,3,Jujuy,4432
2019,3,La Pampa,7745
2019,3,La Rioja,4794
2019,3,Mendoza,4074
2019,3,Misiones,3933
2019,3,Neuquén,6414
2019,3,Río Negro,6342
2019,3,Salta,4448
2019,3,San Juan,3706
2019,3,San Luis,8523
2019,3,Santa Cruz,3563
2019,3,Santa Fe,6887
2019,3,Santiago Del Estero,553
2019,3,Tierra Del Fuego,9646
2019,3,Tucumán,3949
2019,2,Buenos Aires,6785
2019,2,Capital Federal,11055
2019,2,Catamarca,3213
2019,2,Chaco,3414
2019,2,Chubut,4699
2019,2,Córdoba,6807
2019,2,Corrientes,3816
2019,2,Entre Ríos,5748
2019,2,Formosa,3042
2019,2,Jujuy,4451
2019,2,La Pampa,7708
2019,2,La Rioja,487
2019,2,Mendoza,4075
2019,2,Misiones,3915
2019,2,Neuquén,6308
2019,2,Río Negro,6109
2019,2,Salta,4189
2019,2,San Juan,356
2019,2,San Luis,8179
2019,2,Santa Cruz,2885
2019,2,Santa Fe,6742
2019,2,Santiago Del Estero,5279
2019,2,Tierra Del Fuego,948
2019,2,Tucumán,4014
2019,1,Buenos Aires,6624
2019,1,Capital Federal,1092
2019,1,Catamarca,3219
2019,1,Chaco,3264
2019,1,Chubut,43
2019,1,Córdoba,6552
2019,1,Corrientes,3513
2019,1,Entre Ríos,5679
2019,1,Formosa,2968
2019,1,Jujuy,4641
2019,1,La Pampa,7635
2019,1,La Rioja,5018
2019,1,Mendoza,3766
2019,1,Misiones,3626
2019,1,Neuquén,5888
2019,1,Río Negro,5357
2019,1,Salta,401
2019,1,San Juan,3183
2019,1,San Luis,6734
2019,1,Santa Cruz,2367
2019,1,Santa Fe,6697
2019,1,Santiago Del Estero,3752
2019,1,Tierra Del Fuego,9338
2019,1,Tucumán,4163
2018,4,Buenos Aires,646
2018,4,Capital Federal,10827
2018,4,Catamarca,3223
2018,4,Chaco,3259
2018,4,Chubut,4261
2018,4,Córdoba,6509
2018,4,Corrientes,3457
2018,4,Entre Ríos,5437
2018,4,Formosa,2974
2018,4,Jujuy,4653
2018,4,La Pampa,7349
2018,4,La Rioja,5035
2018,4,Mendoza,3776
2018,4,Misiones,3445
2018,4,Neuquén,5907
2018,4,Río Negro,5186
2018,4,Salta,398
2018,4,San Juan,319
2018,4,San Luis,6755
2018,4,Santa Cruz,2369
2018,4,Santa Fe,6559
2018,4,Santiago Del Estero,374
2018,4,Tierra Del Fuego,9359
2018,4,Tucumán,4176
2018,3,Buenos Aires,6444
2018,3,Capital Federal,10845
2018,3,Catamarca,3292
2018,3,Chaco,3228
2018,3,Chubut,5639
2018,3,Córdoba,6424
2018,3,Corrientes,3425
2018,3,Entre Ríos,5022
2018,3,Formosa,2958
2018,3,Jujuy,2326
2018,3,La Pampa,7175
2018,3,La Rioja,5073
2018,3,Mendoza,3799
2018,3,Misiones,321
2018,3,Neuquén,6049
2018,3,Río Negro,5054
2018,3,Salta,3943
2018,3,San Juan,3305
2018,3,San Luis,5235
2018,3,Santa Cruz,3273
2018,3,Santa Fe,6341
2018,3,Santiago Del Estero,3625
2018,3,Tierra Del Fuego,9277
2018,3,Tucumán,4168
2018,2,Buenos Aires,6278
2018,2,Capital Federal,10653
2018,2,Catamarca,3286
2018,2,Chaco,3125
2018,2,Chubut,549
2018,2,Córdoba,6327
2018,2,Corrientes,3381
2018,2,Entre Ríos,492
2018,2,Formosa,2943
2018,2,Jujuy,2343
2018,2,La Pampa,7104
2018,2,La Rioja,5098
2018,2,Mendoza,3697
2018,2,Misiones,3163
2018,2,Neuquén,6024
2018,2,Río Negro,5015
2018,2,Salta,3994
2018,2,San Juan,3295
2018,2,San Luis,1515
2018,2,Santa Cruz,3333
2018,2,Santa Fe,6257
2018,2,Santiago Del Estero,3526
2018,2,Tierra Del Fuego,9161
2018,2,Tucumán,4151
2018,1,Buenos Aires,6263
2018,1,Capital Federal,10624
2018,1,Catamarca,3279
2018,1,Chaco,3083
2018,1,Chubut,5372
2018,1,Córdoba,6352
2018,1,Corrientes,3266
2018,1,Entre Ríos,4868
2018,1,Formosa,214
2018,1,Jujuy,2312
2018,1,La Pampa,7175
2018,1,La Rioja,5144
2018,1,Mendoza,3707
2018,1,Misiones,3096
2018,1,Neuquén,6152
2018,1,Río Negro,4982
2018,1,Salta,3978
2018,1,San Juan,3261
2018,1,San Luis,1515
2018,1,Santa Cruz,3355
2018,1,Santa Fe,6228
2018,1,Santiago Del Estero,3499
2018,1,Tierra Del Fuego,652
2018,1,Tucumán,4118
2017,4,Buenos Aires,5761
2017,4,Capital Federal,1229
2017,4,Catamarca,2862
2017,4,Chaco,3081
2017,4,Chubut,5146
2017,4,Córdoba,6333
2017,4,Corrientes,3252
2017,4,Entre Ríos,4789
2017,4,Formosa,2127
2017,4,Jujuy,2274
2017,4,La Pampa,7105
