id,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Dial up,Otros,Total
20211Neuquén,2021.0,1.0,Neuquén,30223.0,70457.0,14171.0,17752.0,373.0,5947.0,133235.0
20211Río Negro,2021.0,1.0,Río Negro,48777.0,42192.0,17828.0,13994.0,501.0,17876.0,141168.0
20211Salta,2021.0,1.0,Salta,54768.0,89187.0,31498.0,5669.0,2.0,6450.0,187574.0
20211San Juan,2021.0,1.0,San Juan,40072.0,11589.0,6671.0,11482.0,256.0,8197.0,78267.0
20211San Luis,2021.0,1.0,San Luis,8417.0,10678.0,28.0,63826.0,148.0,36057.0,119154.0
20211Santa Cruz,2021.0,1.0,Santa Cruz,12347.0,23089.0,5975.0,4264.0,197.0,3703.0,46065.0
20211Santa Fe,2021.0,1.0,Santa Fe,277012.0,421480.0,70976.0,3914.0,137.0,17382.0,826127.0
20211Santiago Del Estero,2021.0,1.0,Santiago Del Estero,26468.0,75849.0,570.0,5158.0,1.0,3595.0,111641.0
20211Tierra Del Fuego,2021.0,1.0,Tierra Del Fuego,12853.0,27247.0,6.0,0.0,289.0,2871.0,40422.0
20211Tucumán,2021.0,1.0,Tucumán,147199.0,12185.0,69954.0,1834.0,22.0,7378.0,231912.0
20204Buenos Aires,2020.0,4.0,Buenos Aires,635651.0,2441248.0,804991.0,93444.0,5066.0,52861.0,4033261.0
20204Capital Federal,2020.0,4.0,Capital Federal,163060.0,1142528.0,39890.0,4815.0,1390.0,27847.0,1379530.0
20204Catamarca,2020.0,4.0,Catamarca,26870.0,5115.0,17856.0,3220.0,1.0,2232.0,52396.0
20204Chaco,2020.0,4.0,Chaco,44332.0,61200.0,23687.0,7997.0,3.0,1872.0,139091.0
20204Chubut,2020.0,4.0,Chubut,45703.0,39756.0,3040.0,23363.0,825.0,17887.0,130574.0
20204Córdoba,2020.0,4.0,Córdoba,267396.0,439322.0,125620.0,52827.0,55.0,17481.0,902701.0
20204Corrientes,2020.0,4.0,Corrientes,50102.0,61495.0,3146.0,5626.0,3.0,526.0,125659.0
20204Entre Ríos,2020.0,4.0,Entre Ríos,85683.0,113670.0,15653.0,20206.0,13.0,12156.0,247381.0
20204Formosa,2020.0,4.0,Formosa,21264.0,10789.0,2432.0,15341.0,,,50206.0
20204Jujuy,2020.0,4.0,Jujuy,32850.0,52815.0,15639.0,1077.0,,,105851.0
20204La Pampa,2020.0,4.0,La Pampa,9009.0,58945.0,15432.0,12194.0,116.0,1199.0,96895.0
20204La Rioja,2020.0,4.0,La Rioja,17513.0,34984.0,1.0,2500.0,3.0,297.0,52778.0
20204Mendoza,2020.0,4.0,Mendoza,91842.0,68364.0,36083.0,18331.0,615.0,7715.0,215453.0
20204Misiones,2020.0,4.0,Misiones,49462.0,79855.0,6589.0,4359.0,,,147161.0
20204Neuquén,2020.0,4.0,Neuquén,30468.0,70614.0,13732.0,17689.0,373.0,5947.0,133135.0
20204Río Negro,2020.0,4.0,Río Negro,48991.0,42022.0,17826.0,13994.0,501.0,17876.0,141210.0
20204Salta,2020.0,4.0,Salta,56659.0,87817.0,30604.0,5858.0,2.0,6450.0,187390.0
20204San Juan,2020.0,4.0,San Juan,40072.0,7004.0,6599.0,10468.0,256.0,8197.0,72596.0
20204San Luis,2020.0,4.0,San Luis,8417.0,11767.0,27.0,63019.0,148.0,36057.0,119435.0
20204Santa Cruz,2020.0,4.0,Santa Cruz,12347.0,19657.0,1041.0,4659.0,197.0,100.0,40674.0
20204Santa Fe,2020.0,4.0,Santa Fe,287271.0,414746.0,62692.0,38712.0,137.0,17255.0,820813.0
20204Santiago Del Estero,2020.0,4.0,Santiago Del Estero,26812.0,70522.0,570.0,5169.0,1.0,3595.0,106669.0
20204Tierra Del Fuego,2020.0,4.0,Tierra Del Fuego,12853.0,26439.0,6.0,0.0,289.0,2871.0,39614.0
20204Tucumán,2020.0,4.0,Tucumán,149322.0,11150.0,68043.0,1834.0,22.0,7378.0,231089.0
20203Buenos Aires,2020.0,3.0,Buenos Aires,653930.0,2384557.0,749087.0,94162.0,5066.0,50475.0,3937277.0
20203Capital Federal,2020.0,3.0,Capital Federal,170375.0,1129573.0,39417.0,3936.0,1390.0,27984.0,1372675.0
