Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2022,1,Tierra Del Fuego,240,8940,12849,1564,18034,1767,982,2421,52611
2022,1,Tucumán,390,2212,36028,46961,21014,5211,133846,2730,245584
2021,4,Buenos Aires,37821,11026,352950,331292,297296,196021,3259793,22958,4509157
2021,4,Capital Federal,5630,1695,47133,81899,66135,66755,1147939,0,1412119
2021,4,Catamarca,710,0,6038,7855,9804,3262,29827,2233,59090
2021,4,Chaco,4610,1120,18845,22678,21937,13692,58435,7585,143745
2021,4,Chubut,1260,1294,63698,39568,31175,578,2904,15763,160308
2021,4,Córdoba,1000,2479,184548,130892,76246,41198,538700,12607,986770
2021,4,Corrientes,670,6450,28830,26368,22922,10087,39911,7082,135912
2021,4,Entre Ríos,1070,3024,56043,49636,38295,24068,77290,16583,265046
2021,4,Formosa,840,0,22908,6983,6811,1135,13775,1967,53663
2021,4,Jujuy,580,1750,22446,16793,38134,5640,33421,2324,113915
2021,4,La Pampa,3010,4930,64840,9082,12259,4821,12184,3027,107007
2021,4,La Rioja,180,10,5018,5437,23559,5671,43424,0,83128
2021,4,Mendoza,1560,1463,66428,30308,75214,18621,75031,3660,267587
2021,4,Misiones,510,50,41916,23554,26721,15954,54596,8335,171132
2021,4,Neuquén,1400,9400,42313,13264,10515,331,69217,7767,147466
2021,4,Río Negro,1560,1174,38373,19878,31255,413,36142,22645,153753
2021,4,Salta,1140,200,40673,69324,6642,3535,72622,6475,199405
2021,4,San Juan,440,1442,28906,10955,23978,3980,9800,4435,79958
2021,4,San Luis,620,2640,8550,4276,9107,67363,9,29218,118849
2021,4,Santa Cruz,520,2970,20305,11641,13054,177,876,4910,48486
2021,4,Santa Fe,4670,5810,169706,206856,8569,62349,322015,18777,866441
2021,4,Santiago Del Estero,1780,9090,31915,61524,12205,8000,7537,7930,115861
2021,4,Tierra Del Fuego,260,3850,13505,16534,16562,1748,1017,258,52357
2021,4,Tucumán,390,970,37321,48736,21023,5326,125857,2400,238639
2021,3,Buenos Aires,37193,31149,1108940,248153,141383,192797,2482266,9728,4251609
2021,3,Capital Federal,2950,6030,156978,67013,39785,73502,1075229,0,1413405
2021,3,Catamarca,710,0,6755,8428,10517,1659,26618,2206,56254
2021,3,Chaco,3010,1120,22545,20986,23852,14412,49705,7958,139871
2021,3,Chubut,1040,1050,89168,26281,18538,532,1643,14907,156066
